file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,50,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,0,4
style.css,51,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,1,16
style.css,52,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,1,21
style.css,53,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,1,11
style.css,54,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,1,29
style.css,55,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,1,18
style.css,56,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,0,0
style.css,57,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,0,0
style.css,58,css,36e2dc98,Varick Janiro Hasim,2025-04-17,23:37:27,-07:00,2025-04-17T23:37:27-07:00,0,4
style.css,59,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,1,11
style.css,60,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,1,12
style.css,61,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,1,10
style.css,62,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,1,21
style.css,63,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,0,0
style.css,64,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,0,0
style.css,65,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,0,7
style.css,66,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,1,11
style.css,67,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,1,12
style.css,68,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,1,10
style.css,69,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,1,21
style.css,70,css,36e2dc98,Varick Janiro Hasim,2025-04-17,23:37:27,-07:00,2025-04-17T23:37:27-07:00,0,0
style.css,71,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,0,0
style.css,72,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,0,5
style.css,73,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,1,11
style.css,74,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,0,0
style.css,75,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,0,0
style.css,76,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,0,3
style.css,77,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,1,11
style.css,78,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,1,30
style.css,79,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,1,7
style.css,80,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,0,0
style.css,81,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,0,0
style.css,82,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,0,8
style.css,83,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,1,12
style.css,84,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,1,58
style.css,85,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,1,7
style.css,86,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,0,0
style.css,87,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,0,0
style.css,88,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,0,6
style.css,89,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,1,26
style.css,90,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,1,15
style.css,91,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,0,0
style.css,92,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,0,0
style.css,93,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,0,1
